NL,SQL
list people with disbursement_amount above 747,SELECT * FROM loans WHERE disbursement_amount > 747;
fetch clients ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
list people ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
list people where tenure_months over 366,SELECT * FROM loans WHERE tenure_months > 366;
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
give me the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people where credit_score above 10288 and tenure_months not exceeding 481,SELECT * FROM loans WHERE credit_score > 10288 AND tenure_months < 481;
what is the mean disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
fetch the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show clients with disbursement_amount above 10326 and credit_score below 548,SELECT * FROM loans WHERE disbursement_amount > 10326 AND credit_score < 548;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
list the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list borrowers with disbursement_amount over 19453 and tenure_months not exceeding 457,SELECT * FROM loans WHERE disbursement_amount > 19453 AND tenure_months < 457;
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
display the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the min disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
list borrowers where disbursement_amount over 28763 and credit_score less than 319,SELECT * FROM loans WHERE disbursement_amount > 28763 AND credit_score < 319;
give me clients where credit_score above 611,SELECT * FROM loans WHERE credit_score > 611;
display people with disbursement_amount above 324,SELECT * FROM loans WHERE disbursement_amount > 324;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people where credit_score greater than 23976 and disbursement_amount under 791,SELECT * FROM loans WHERE credit_score > 23976 AND disbursement_amount < 791;
list people having disbursement_amount greater than 870,SELECT * FROM loans WHERE disbursement_amount > 870;
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show customers having disbursement_amount greater than 23877 and credit_score under 726,SELECT * FROM loans WHERE disbursement_amount > 23877 AND credit_score < 726;
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the sum disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
fetch customers where disbursement_amount above 14562 and credit_score under 544,SELECT * FROM loans WHERE disbursement_amount > 14562 AND credit_score < 544;
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients where credit_score more than 7689 and tenure_months below 712,SELECT * FROM loans WHERE credit_score > 7689 AND tenure_months < 712;
fetch customers having tenure_months above 4903 and disbursement_amount not exceeding 660,SELECT * FROM loans WHERE tenure_months > 4903 AND disbursement_amount < 660;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients where disbursement_amount over 695,SELECT * FROM loans WHERE disbursement_amount > 695;
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display clients where credit_score more than 17869 and disbursement_amount below 640,SELECT * FROM loans WHERE credit_score > 17869 AND disbursement_amount < 640;
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch people with age more than 258,SELECT * FROM loans WHERE age > 258;
what is the minimum credit_score of all loans,SELECT MIN(credit_score) FROM loans;
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
what is the sum tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
display clients with disbursement_amount over 39702 and credit_score less than 603,SELECT * FROM loans WHERE disbursement_amount > 39702 AND credit_score < 603;
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list borrowers where tenure_months more than 29192 and credit_score below 325,SELECT * FROM loans WHERE tenure_months > 29192 AND credit_score < 325;
display borrowers where tenure_months above 95,SELECT * FROM loans WHERE tenure_months > 95;
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
give me borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the highest disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
what is the highest disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
give me borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
show clients with disbursement_amount above 17544 and credit_score not exceeding 417,SELECT * FROM loans WHERE disbursement_amount > 17544 AND credit_score < 417;
display customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the total credit_score of all loans,SELECT SUM(credit_score) FROM loans;
show clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
display the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch customers where tenure_months above 992,SELECT * FROM loans WHERE tenure_months > 992;
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
fetch clients where age over 481,SELECT * FROM loans WHERE age > 481;
show the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers having credit_score more than 725,SELECT * FROM loans WHERE credit_score > 725;
show people with credit_score greater than 18455 and disbursement_amount below 778,SELECT * FROM loans WHERE credit_score > 18455 AND disbursement_amount < 778;
list customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
what is the total credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the total credit_score of all loans,SELECT SUM(credit_score) FROM loans;
fetch clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers having credit_score above 21548 and disbursement_amount under 659,SELECT * FROM loans WHERE credit_score > 21548 AND disbursement_amount < 659;
give me people with disbursement_amount greater than 21453 and tenure_months less than 594,SELECT * FROM loans WHERE disbursement_amount > 21453 AND tenure_months < 594;
show customers with credit_score more than 15816 and disbursement_amount not exceeding 454,SELECT * FROM loans WHERE credit_score > 15816 AND disbursement_amount < 454;
give me borrowers where credit_score over 2358 and disbursement_amount not exceeding 612,SELECT * FROM loans WHERE credit_score > 2358 AND disbursement_amount < 612;
give me clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show borrowers where credit_score over 41376 and disbursement_amount not exceeding 721,SELECT * FROM loans WHERE credit_score > 41376 AND disbursement_amount < 721;
show borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers having age over 676,SELECT * FROM loans WHERE age > 676;
give me customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
display people where credit_score above 15177 and disbursement_amount not exceeding 765,SELECT * FROM loans WHERE credit_score > 15177 AND disbursement_amount < 765;
fetch customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
fetch customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show borrowers having credit_score greater than 350,SELECT * FROM loans WHERE credit_score > 350;
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
list clients having tenure_months greater than 45188 and disbursement_amount below 424,SELECT * FROM loans WHERE tenure_months > 45188 AND disbursement_amount < 424;
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show people where disbursement_amount more than 996,SELECT * FROM loans WHERE disbursement_amount > 996;
fetch borrowers where tenure_months greater than 11402 and disbursement_amount less than 301,SELECT * FROM loans WHERE tenure_months > 11402 AND disbursement_amount < 301;
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers with tenure_months greater than 47436 and credit_score below 412,SELECT * FROM loans WHERE tenure_months > 47436 AND credit_score < 412;
show borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
list clients with credit_score more than 43603 and disbursement_amount less than 338,SELECT * FROM loans WHERE credit_score > 43603 AND disbursement_amount < 338;
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show people with tenure_months greater than 936,SELECT * FROM loans WHERE tenure_months > 936;
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list borrowers having disbursement_amount more than 23457 and tenure_months not exceeding 630,SELECT * FROM loans WHERE disbursement_amount > 23457 AND tenure_months < 630;
display people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
display people with age above 613,SELECT * FROM loans WHERE age > 613;
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch borrowers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum credit_score of all loans,SELECT MIN(credit_score) FROM loans;
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the avg credit_score of all loans,SELECT AVG(credit_score) FROM loans;
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum credit_score of all loans,SELECT MIN(credit_score) FROM loans;
display borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
display clients having disbursement_amount above 1054 and tenure_months less than 419,SELECT * FROM loans WHERE disbursement_amount > 1054 AND tenure_months < 419;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display clients having disbursement_amount more than 45599 and tenure_months less than 612,SELECT * FROM loans WHERE disbursement_amount > 45599 AND tenure_months < 612;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the total tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
display people with credit_score above 41916 and disbursement_amount under 411,SELECT * FROM loans WHERE credit_score > 41916 AND disbursement_amount < 411;
show clients with tenure_months above 33808 and credit_score not exceeding 653,SELECT * FROM loans WHERE tenure_months > 33808 AND credit_score < 653;
what is the total credit_score of all loans,SELECT SUM(credit_score) FROM loans;
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display people with credit_score greater than 38349 and tenure_months below 392,SELECT * FROM loans WHERE credit_score > 38349 AND tenure_months < 392;
give me clients with age more than 924,SELECT * FROM loans WHERE age > 924;
show clients with age above 572,SELECT * FROM loans WHERE age > 572;
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
show borrowers having tenure_months greater than 14777 and credit_score less than 530,SELECT * FROM loans WHERE tenure_months > 14777 AND credit_score < 530;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display clients where tenure_months greater than 5438 and disbursement_amount less than 421,SELECT * FROM loans WHERE tenure_months > 5438 AND disbursement_amount < 421;
show clients with tenure_months above 44153 and credit_score below 318,SELECT * FROM loans WHERE tenure_months > 44153 AND credit_score < 318;
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display customers with age greater than 305,SELECT * FROM loans WHERE age > 305;
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list clients where disbursement_amount more than 43,SELECT * FROM loans WHERE disbursement_amount > 43;
show borrowers where credit_score greater than 720,SELECT * FROM loans WHERE credit_score > 720;
give me customers with credit_score more than 453,SELECT * FROM loans WHERE credit_score > 453;
what is the sum tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers where tenure_months greater than 48152 and disbursement_amount not exceeding 516,SELECT * FROM loans WHERE tenure_months > 48152 AND disbursement_amount < 516;
fetch the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
show clients having credit_score greater than 579,SELECT * FROM loans WHERE credit_score > 579;
what is the total disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
list customers where credit_score over 317,SELECT * FROM loans WHERE credit_score > 317;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show customers with tenure_months over 34108 and credit_score below 740,SELECT * FROM loans WHERE tenure_months > 34108 AND credit_score < 740;
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
list borrowers having credit_score greater than 19706 and tenure_months under 694,SELECT * FROM loans WHERE credit_score > 19706 AND tenure_months < 694;
list customers having credit_score above 34958 and tenure_months under 549,SELECT * FROM loans WHERE credit_score > 34958 AND tenure_months < 549;
what is the maximum disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
show customers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me borrowers where disbursement_amount over 14211 and tenure_months not exceeding 603,SELECT * FROM loans WHERE disbursement_amount > 14211 AND tenure_months < 603;
give me people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
display clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
display customers where age above 251,SELECT * FROM loans WHERE age > 251;
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
give me people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers where credit_score greater than 24520 and disbursement_amount under 358,SELECT * FROM loans WHERE credit_score > 24520 AND disbursement_amount < 358;
display clients with credit_score over 35275 and disbursement_amount not exceeding 523,SELECT * FROM loans WHERE credit_score > 35275 AND disbursement_amount < 523;
fetch borrowers with disbursement_amount over 24906 and credit_score under 329,SELECT * FROM loans WHERE disbursement_amount > 24906 AND credit_score < 329;
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show customers with credit_score over 625,SELECT * FROM loans WHERE credit_score > 625;
show borrowers having tenure_months greater than 33747 and disbursement_amount under 370,SELECT * FROM loans WHERE tenure_months > 33747 AND disbursement_amount < 370;
display the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show borrowers having age more than 716,SELECT * FROM loans WHERE age > 716;
give me customers with tenure_months above 16100 and credit_score below 522,SELECT * FROM loans WHERE tenure_months > 16100 AND credit_score < 522;
show people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch customers where disbursement_amount above 607,SELECT * FROM loans WHERE disbursement_amount > 607;
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
give me borrowers where credit_score over 26291 and tenure_months below 404,SELECT * FROM loans WHERE credit_score > 26291 AND tenure_months < 404;
fetch customers where tenure_months greater than 552,SELECT * FROM loans WHERE tenure_months > 552;
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch borrowers having disbursement_amount greater than 36278 and tenure_months less than 594,SELECT * FROM loans WHERE disbursement_amount > 36278 AND tenure_months < 594;
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the count tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
display people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
display customers where tenure_months more than 872,SELECT * FROM loans WHERE tenure_months > 872;
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the avg tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
